id,type_string,description,created_at,updated_at
49716739,SEMI-ANNUALLY_IN_ARREARS,Semi-Annually In Arrears,2012-05-25 21:11:50,2012-05-25 21:11:50
65013362,ANNUALLY,Annually,2012-05-25 21:11:50,2012-05-25 21:11:50
68692764,VOLUNTARY,Voluntary,2012-05-25 21:11:50,2012-05-25 21:11:50
86044396,SEMI-ANNUALLY,Semi-Annually,2012-05-25 21:11:50,2012-05-25 21:11:50
425211171,OTHER,Other,2012-05-25 21:11:50,2012-05-25 21:11:50
546984669,BI-ANNUALLY,Bi-Annually,2012-05-25 21:11:50,2012-05-25 21:11:50
547497026,QUARTERLY_IN_ARREARS,Quarterly In Arrears,2012-05-25 21:11:50,2012-05-25 21:11:50
662772726,INADVANCE,In Advance,2012-05-25 21:11:50,2012-05-25 21:11:50
671893021,AS_NEEDED,As Needed,2012-05-25 21:11:50,2012-05-25 21:11:50
715507355,MONTHLY,Monthly,2012-05-25 21:11:50,2012-05-25 21:11:50
895066696,YEARLY_IN_ARREARS,Yearly In Arrears,2012-05-25 21:11:50,2012-05-25 21:11:50
943965439,YEARLY,Yearly,2012-05-25 21:11:50,2012-05-25 21:11:50
956606308,QUARTERLY,Quarterly,2012-05-25 21:11:50,2012-10-26 13:48:17
956606309,SEEBELOW,See Below,2012-10-26 13:48:34,2012-10-26 13:48:34
