id,maintenance_fund_id,year,amount,created_at,updated_at,fee_collection_type_id,how_collected,other_fee_type
1,1,2009,$ varies pm,2012-07-16 10:52:54,2012-07-16 10:52:54,715507355,,
2,2,1994,125.00 P/M,2012-07-16 10:52:55,2012-07-16 10:52:55,715507355,,
3,4,2007,Varies P/M,2012-07-16 10:52:56,2012-07-16 10:52:56,715507355,,
4,7,2009,$ 650.00,2012-07-16 10:52:56,2012-07-16 10:52:56,943965439,,
5,8,1996,150.00 P/QTR.,2012-07-16 10:52:57,2012-07-16 10:52:57,956606308,,
6,11,2010,$ 300.00,2012-07-16 10:52:58,2012-07-16 10:52:58,715507355,,
7,12,1998,VARIES P/M,2012-07-16 10:52:58,2012-07-16 10:52:58,715507355,,
8,13,2010,VARIES P/M,2012-07-16 10:52:59,2012-07-16 10:52:59,715507355,,
9,14,1997,25.00 P/M,2012-07-16 10:53:00,2012-07-16 10:53:00,715507355,,
10,16,2010,"1,600.00",2012-07-16 10:53:00,2012-07-16 10:53:00,943965439,,
11,17,1996,11.00 P/M**,2012-07-16 10:53:01,2012-07-16 10:53:01,425211171,,
12,18,2005,300.00 P/M,2012-07-16 10:53:01,2012-07-16 10:53:01,715507355,,
13,20,2009,VARIES,2012-07-16 10:53:02,2012-07-16 10:53:02,956606308,,
14,21,2002,75.00 P/M,2012-07-16 10:53:03,2012-07-16 10:53:03,715507355,,
15,27,1995,VARIES,2012-07-16 10:53:04,2012-07-16 10:53:04,715507355,,
16,28,2011,120.00,2012-07-16 10:53:05,2012-07-16 10:53:05,943965439,,
17,32,2002,"1,000.00",2012-07-16 10:53:06,2012-07-16 10:53:06,943965439,,
18,33,2004,VARIES P/M,2012-07-16 10:53:06,2012-07-16 10:53:06,715507355,,
19,34,2001,varies P/M,2012-07-16 10:53:07,2012-07-16 10:53:07,715507355,,
20,35,2010,$ 1000.00,2012-07-16 10:53:08,2012-07-16 10:53:08,943965439,,
21,36,2010,VARIES P/M,2012-07-16 10:53:08,2012-07-16 10:53:08,715507355,,
22,37,2006,$ 160.00 pm,2012-07-16 10:53:09,2012-07-16 10:53:09,715507355,,
23,38,2011,VARIES P/M,2012-07-16 10:53:09,2012-07-16 10:53:09,715507355,,
24,39,1995,VARIES,2012-07-16 10:53:10,2012-07-16 10:53:10,715507355,,
25,40,2003,VARIES,2012-07-16 10:53:10,2012-07-16 10:53:10,956606308,,
26,42,1998,VARIES P/M,2012-07-16 10:53:11,2012-07-16 10:53:11,715507355,,
