id,name,collector,street,city,state,zip,phone,contact,instructions,created_at,updated_at,amenities,email,fax
2,"1017 Nantucket, Westhaven Estates",Cindy Bailey,1017D Nantucket,Houston,Texas,77057,713-468-0048,"",Please include a copy of the top portion of the closing  statement.,2012-07-16 10:52:55,2012-11-30 17:32:26,"",,
3,1050 Spenwick P O A,David Bracher,1950 Spenwick,N/A,Texas,N/A,713-570-5728,"",Previously known as Ravenwood Parque Condos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        2001,2012-07-16 10:52:55,2013-02-06 16:23:25,"",,
5,"1107 Nantucket Homeowners Association, Inc.",Maryanna Paul,"","",Texas,"",626-3930,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN    ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:52:56,2012-11-30 17:34:39,"",,
7,"1230, 1300, 1302, 1304, Potomac Owners Assn.",David Allan,1300 Potomac,Houston,Texas,77057,713-647-5520,"",Include a copy of the top portion of the closing statement.,2012-07-16 10:52:56,2012-11-30 20:11:01,"",,
8,"1301 Potomac Homeowners Association, Inc.","",1301 Potomac Unit D,Houston,Texas,77057,713-973-3046,Patrickwk. 759-1555,Insurance is thru Braniff @ 623-2330. Include a copy of  the top portion of the closing statement.,2012-07-16 10:52:57,2012-11-30 17:35:46,"",,
9,"1307 Potomac, Westhaven Estates",R.M. Hill,"","",Texas,"",468-4304,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN     ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:52:57,2012-11-30 17:36:19,"",,
10,"1318 Peden Townhome Association, Inc.",Richard Mullen,N/A,N/A,Texas,N/A,523-4000,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN    ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:52:57,2013-02-07 16:41:45,"",,
11,1342 Rutland Lofts Condo,Presentation-Perfect,P.O.Box 1646,Sugar Land,Texas,77487,281-494-9423,Vanessa,"On sales, collect 1 month advance and 2 months as a Non-Refundable Reserve @ $300.00 pm. Sales incur a $150.00 Transfer Fee payable to Resource Management. Refinances incur no Processing Fee. Include a copy of the top portion of the closing statement.",2012-07-16 10:52:58,2013-03-07 18:46:51,"",,
12,13th Street Victorian Civic Association,Craig Daniel (Attorney),120 East 13st. Street,Houston,Texas,"",713-861-1746,"",INCLUDE A COPY OF THE TOP PORTION OF THE CLOSING STATEMENT.                                                                                                                                                                                                                                                                                                              Part of Houston Heights Sub. Even # houses only on East 13th St.,2012-07-16 10:52:58,2012-11-30 17:38:06,"",,
14,1500 Allston Homeowners Association,"Russell Alcott, Jr.",1502 Allston Unit I,Houston,Texas,77008,713-864-8125,"",Collect 2 months in advance @ the monthly rate of $ 25.00.  Insurance is individually acquired. Include a copy of the top portion of the  closing statement.,2012-07-16 10:53:00,2012-11-30 17:38:59,"",,
